Arbres,sousArbre,nom,ultime,modificationPhysique,description,fonctionnement,niveau1,Niveau 2
Lignage,Shatten,Lecture d’âme,false,Yeux vert,"Par leur yeux les Shatten focalisent leur attention sur une personne pour déchiffrer son état d’esprit, qui lui apparaît sous la forme d’une aura aux couleurs changeantes. Les auras n’apportent pas d’informations précises. En revanche, elles fournissent des indices sur l’état émotionnel de la cible.","Tests : [Intelligence + Contrainte] / [Sang-froid + Représentation]

Gagne autant de question que la marge de réussite.",L’indication de l’émotion est peu précise.,La connaissance de l’émotion est précise. Permet d’accentuer ou de diminuer une émotion.
Lignage,Bestille,Psychométrie,false,Stygmate sur les mains,"En touchant un objet inanimé ou le sol d’un lieu, la Bestille décèle les résidus d’émotions laissé par ceux qui l’ont manipulé ou visité par le passé.","Tests : [Lignage + Intelligence] 
Ce procédé lui donne un aperçu des personnes concernées, mais aussi de leur actions et des circonstances des évènements. Les informations données sont rarement clair.","Fonctionne sur les objets.
La trace doit être récente.",Lis les traces ancienne sur les objet et les traces récente sur les lieux.
Lignage,Bestille,Partage de sens,false,Yeux blanc,La Bestille projette son esprit pour se connecter aux sens d’une autre personne qui voit et ressent les même chose que lui. L’utilisateur reste conserve ses propres perceptions et reste conscient de son environnement immédiat.,"Tests: [Lignage + Sang-froid] / [Sang-froid + Constitution]

Si rate la cible sens que quelques choses s’est passé.",Uniquement sur les personnes consentantes.,"Inclus les cibles non consentante
Permet d’échanger des bribes d’informations à la cible consentante."
Lignage,Bestille,Attaque psychique,false,Cheveux blanc,Bestille projette son esprit violemment contre celui d’un adversaire afin de le désorienter et dans certains cas lui infliger de violente douleur.,Tests: [Lignage + Sang-froid] / [Sang-froid + Constitution],"Malus de -2 a la victime & 2 dégâts léger.
Utilisable à son tour ou en défense","L’attaque peut être utilisé hors du tour mais n’inflige pas de dégâts.
Dégâts d’attaque: 1 dégâts aggravé"
Lignage,Bestille,Révérence,false,Tatouage évolutif et symétrique,Quiconque se trouve en présence de la Bestille avec ses tatouages visibles éprouve une admiration inexplicable pour elle. Les gens boivent ses paroles et acquiescent a tout va. Ce pouvoir peut même aller a l’envoutement.,"Tests: [Lignage + Charisme] / [Sang-froid + Constitution]

Niveau de lignage ajouté au tests impliquant Persuasion et représentation.

Durée : 1 scène",,Permet de séduire une victime. L’effet dure une journée.
Lignage,Vuur,Âme de création,false,Mains noires,Les mains de Vuur sont capables ajouter une âme aux objets qu’ils créent. Chaque objet créé ainsi possède un objectif qu’il aspire à accomplir et mettra tout en sorte pour le faire.,"Âme temporaire -> Test : [Lignage + Artisanat] / 2

Âme fixe -> Obtient l’activité de camp : Inspiration d’objet. 
Inspiration simple -> 1 mot : +1 si lien -1 pour tout le reste
(Nv2 seulement)  Inspiration complexe -> Verbe + sujet  : +2 si lien -2 pour le reste",Temps de création : 10h,"Inspiration simple  : 5h
Inspiration complexe : 10h"
Lignage,Vuur,Griffes draconique,false,Ecailles qui poussent sur le corps,Une partie du corps de Vuur devient une arme naturelle. Elle peut faire grandir des griffes sur ses mains ou faire apparaitre des crocs.,"Les griffes infligent 2 dégâts. 
+1 au jet de CaC avec

(Nv 2) Adrénaline : gagne une action supplémentaire ce tour. Une fois par scène.",,"+1 dégâts des griffes
Adrénaline."
Lignage,Vuur,Focus,false,Cœur noir,L’esprit de Vuur se concentre sur une tâche précise si bien que tout disparait autour et rien n’importe plus que son accomplissement.,"La tâche doit être précise.

Tâche focus : +1 a tout les jets.
-2 a tout les jets ne correspondant pas 
Si tâche pas accompli -2 sanité

Durée : 1 scène",,"Tâche ultra focus : +2 
-4 jet ne correspondant pas
Si tâche pas accomplit -4 sanité"
Lignage,Vuur,Meilleure régénération,false,Sang froid,Les sang froid d’une Vuur lui permet d’avoir une régénération extraordinaire aux blessures. En contre partie ceux-ci possèdent moins d’énergie et sont plus sensible au froid.,"Gagne +1 PV par repos mais -1 PE de régénération

-2 au jets de constitution contre le froid",,"Supprime une condition physique a la fin d’une mission.
Peut forcer une régénération rapide (+4 PV) mais -2 sanité (une fois par scène)"
Lignage,Styrke,Force impressionnante,false,Géant,Un styrke est capable avec des entrainement de dépasser les limites physiologique de l’être humain que ce soit pour un bref instant ou en continu.,"+1 en capacité physique

Dépassement : Gains d’un bonus de capacité physique pour la durée d’un tour.
Applique 1 dégâts aggravé.

Max: 3 fois par scène",Bonus dépassement : +2,Dépassement : Double la capacité
Lignage,Styrke,Douleur salvatrice,false,Pâleur,"Les blessures et les lésions renforcent la puissance du Styrke, qui devient plus fort et plus rapide à chaque coup, déchirure ou perforation qu’il subit.","Gagne 1 dés bonus par tranche de dégâts aggravés. 
Chaque utilisation ajoute 1 dés de sanité",Tranche de 2 dégâts aggravé.,Tranche de dégâts aggravés
Lignage,Styrke,Anticipation du danger,false,Yeux jaune,Le 3ème oeil de styrke lui permet d’anticiper tout les dangers et d’y réagir de manière surnaturelle.,"+2 à l’initiative

Peut se défendre contre toute les attaques surprises.",,N’a pas besoin de jet d’initiative débute chaque scène
Lignage,Styrke,Loyal,false,Tâche de naissance,Un styrke se lie d’une profonde amitié avec quelqu’un qu’il jure de protéger. Cette amitié crée un lien puissant qui dépasse les limites physiques,"Permet de combiner ses actions avec la personnes liée.

Lien magique : Emprunte une capité du compagnon 1 fois par scène. 
Utilise le niveau d’arbre du compagnon.",Lien magique : Aspect nv1,"-1 en test de sanité tant que la personne lié est là.
Permet d’échanger des blessures mentales, physiques, et endurance.
Lien magique : Aspect nv2"
Magie,Nature,Magie de nature,false,,Contrôle et modèle la pierre a l’aide de ses mains.,"Frappe de pierre : 3 dégâts
Resistance : 3 PV
Amplification : ajoute 1PV à la résistance pour 1PE","Distance manipulation : 3m
Distance création & amplification : contact","Distance manipulation, amplification, création : 8m"
Magie,Nature,Manipulation des plantes,false,,Modèle plante et racine vivante par la volonté.,"Enchevêtrement : 2 dgt & immobilise
Amplification : Ajout d’épine +1 dégât pour 1 PE
Pour s’en échappé : [adresse + Astuce] / 2

Au repos gagne l’activité sculpture vivante. Permet de fabriquer des objets très résistants.","Distance manipulation : 5m
Distance création & amplification : contact
Sculpture : Objet de qualité moyenne","Distance manipulation, amplification, création : 10m
Sculpture : Objet de très bonne qualité."
Magie,Nature,Spore,false,,Crée une zone de spore mortel,"Spore : 
Mortel : 2 dégâts en rentrant dans la zone
Sommeil : +1 coup endurance dans la zone
Revigorant : -2 dégâts léger à la fin du tour
Durée : 1 tour et 1 d’endurance pour le maintenir
Amplification: Permet de choisir les entités pour 1 PE",Rayon : 5m,Rayon : 10m
Magie,Nature,Contrôle fongique,true,,,"Minions : Phy: 3 Soc:0 Ment:0
Ne peux pas avoir d’arme. 
Peut avoir une armure moyenne. 
Cap : 5 
Attaque :
Poing : 2 dégâts
Morsure : 3 dégâts","Peut réanimé pour une scène un cadavre. Il dure une scène.
Apparait à la fin du tour.","Apparait à la fin du tour du mage.
Au repos gagner l’activité infestation et crée un minions à partir d’un cadavre."
Magie,Nature,Vision de vie,true,,,"Détecte la vie autour de soit, son état physique, ses spécificité.
Infos précise (au-delà de sa position): 
Etat de santé 
Etat de fatigue
Magie/Lignage et leur importance","Rayon : 15m
Peut se concentrer sur 1 cible pour connaitre ses infos précises","Rayon : 30m
Peut se concentrer sur 3 cible pour connaitre ses infos précises"
Magie,Eau,Brume,false,,Fait apparaitre une brume dans la zone. Bonus de déplacement et de furtivité.  Peut se combiner avec les autres style de magie d'eau,"Brume : -3 perception, +1 défense et cap combat pour le lanceur 
Durée : 1 tour + coute 1 par tour suplémentaire
Amplification : ajoute l’aspect chaud ou froid à la brume pour 1PE supplémentaire
Eau brulante : 2 dégâts aux personne dans la zone ou qui y rentre
Eau glacée : -1 capacité physique, attaque & défense","Rayon : 5m
Distance manipulation : 5m
Distance création & amplification : autour de soit","Rayon : 10m
Distance manipulation : 10m
Distance création & amplification : 5m"
Magie,Eau,Contrôle de l’eau,false,,Manipule une grand quantité d’eau et peut la projeter a haute vitesse.,"Projection contre un mur : 2 dégâts
Amplification eau brulante : + 2 dégâts","Distance manipulation : 5m
Distance création & amplification : contact","Distance manipulation, amplification, création : 10m"
Magie,Eau,"Forge de glace ",false,,Fabrique n'importe quel objet simple ou complexe rapidement en glace mais ceux-ci sont peu résistant. Peut aussi transformer l’eau en glace.,"Sculpture de glace : dégâts égo à l’arme
Resistance : 1Pv
Vitesse de création : Action rapide

Contact de glace : 2 dégâts & abime les objets","Distance manipulation : 5m
Distance création & amplification : contact","Distance manipulation, amplification, création : 10m"
Magie,Eau,Contrôle du sang,true,,Permet de contrôler son propre sang pour s’en faire une arme a distance ou fabriquer des objets.,"Chaque fois que le personnage perd 1 dégâts aggravé il gagne 1pt de sang

Pointes de sang : 1 + 1 dégâts par pt de sang utilisé
Résistance : 2 pv + 1 par pt de sang",Distance manipulation : 5m,"Distance manipulation : 10m
Chaque tour gagne 1pt de sang"
Magie,Eau,Transfert de sang,true,,Permet de transférer la vie entre deux entités.,"Vole de vie : Transfert des PV entre deux entités.
Resistance : [constitution + Mental]

Récupération : Récupère du sang dans une zone de 5m","Max : 2PV 
Distance : Contact","Cible consentante.
Max : 4PV ou 4pt de sang
Cible non consentante.
Max : 2PV ou 2pt de sang
Distance : 5m"
Magie,Ombre,Ombre terrifiante,false,,Création d'illusion menaçante qui effraies les ennemies,"Tests : [Magie + Subterfuge]/[sang-froid + Astuce] 
La cible est désorienté d’un tour en plus pour chaque dés supplémentaire.

Désorienté : La cible prend l’ombre pour cible.",1 cible.,3 cibles.
Magie,Ombre,Manteau d’ombres,false,,Contrôle les ombres environnante du lanceur. Modifie leur forme et leur taille pour s’y cacher.,"Immobile : devient presque invisible.

En déplacement : malus pour le repérer.",Déplacement : -2 pour le repérer.,"Déplacement : -4 pour le repérer. 
Peut augmenter la zone de 1m par malus."
Magie,Ombre,Poche d’ombre,false,,Accède la dimension des ombres pour y stocker des objets.,,"Peut mettre jusqu’à 3 objets lourd. 
Accéder a un objet lourd prend 1 action, un objet léger 1 action rapide.","Peut stocker 6 objets lourds. 
Accéder un objet lourd en une action rapide et instantané pour un objet léger."
Magie,Ombre,Voyageur des ombres,true,,Permet d’accéder à la dimension des ombres et de voyager à travers celle-ci.,"Les blessures du personnages augmentent en se téléportant. S’il a subit des dégâts aggravé, il en subit 1 supplémentaire par saut.

Esquive d’ombre :  Bonus d’esquive égal au niveau de voyageur. Passif. Coute 1 PE par tour.","Prend une action à faire.
Permet de se téléporter seul à 2,5m.","Action rapide.
Permet de se téléporter à 10m seul.
Peut transporter 1 personne à 5m."
Magie,Ombre,Ombre tangible,true,,Rend tangible les ombres autour de lui. Les attaques d’ombres sont peu puissante mais surprennent et sont très nombreuses.,"Pics d’ombre : 2 dégâts 
Resistance ombre tangible : 1pv
Amplification nombre : crée 1 pics supplémentaire

La première utilisation surprend toujours la cible.","Distance manipulation : 5m
Distance création & amplification : contact","Distance manipulation, amplification, création : 10m
Peut amplifier une seconde fois contre une action simple."
Magie,Vent,Contrôle du vent,false,,Lance une vague de vent projetant tout sur son chemin.,"Projection contre un objet/mur : 3 dégâts
Amplification  : +1 dégâts de collision pour 1 PE",Distance : 10m,"Distance : 15m
Peut toucher 2 cibles"
Magie,Vent,Manteaux de vent,false,,Permet au lanceur de se mouvoir aisément grâce au courant d'air qu'il crée.,"Le sort se lance une fois et peut être maintenu pour 2 PE par tour.
Les sauts sont plus haut et annule les dégâts de chute.

Relance tout ses jets d’acrobatie et esquive",,"Peut planer.
Armure de base : +1"
Magie,Vent,Lame de vent,false,,Lorsqu’il utilise ses armes tranchante le mage crée une vague d’énergie qui coupe tout ce qu’elle traverse.,"Lame de vent : 2 dégâts
Action rapide
Doit accompagner une attaque par une arme.",Distance : 10m,"Distance : 15m
Traverse les cibles et touche derrière."
Magie,Vent,Télékinésie,true,,Projette un objet a grande vitesse ou soulève un objet lentement avec dextérité.,"Attaque télékinésie : 
Objet : 2 dégâts
Armes : Dégâts de l’arme
[si lv1]
Une fois lever lance un jet à chaque tour: 
réussi -> aucun coût d’endurance
Rate -> 1PE par objet","2 Petits objet -> distance:10m
1 Objet moyen ->  Distance:5m","4 Petits objet -> distance:15m
2 Objets moyen ->  Distance:10m 
Pas de coût de maintien"
Magie,Vent,Fouet de vent,true,,Projette ou attire un objet très vite,"Amplification : peut être réutiliser 2 fois si l’objet est soit même pour 1 PE
Projection d’objet : plus l’objet est petit plus cela fait de dégâts (1 à 3 dégâts)
Tire un objet moins lourd que lui, si l'objet est plus lourd le lanceur part dans la direction inverse. La force va de la cible vers le lanceur en ligne droite.",Distance Projeter/Attirer :  5m,"Distance Projeter/Attirer :  10m
Peut se maintenir entre 2 phase pour 2 PE par tour"
Magie,Feu,Aura brulante,false,,Crée autour de soit une zone de chaleur invivable. Il est très dangereux de maintenir cette capacité trop longtemps.,"La zone brulante :  2 dégâts à tout ceux à l’intérieur.

A la fin du 2eme tour : 
inflige 2 dégâts au lanceur par tour
Les éléments dans la zone prennent feu",Zone de 3m autour de soit.,"Zone de 5m autour de soit.
Retire une personne de la zone."
Magie,Feu,Contrôle de flamme,false,,Projette des flammes par ses mains.,"Flammes : 3 dégâts.
L’amplification : + 1pt de dégâts.
Un objet chauffé a blanc :  2 dégâts.","Distance manipulation : 5m
Distance création & amplification : contact","Distance manipulation, amplification, création : 10m"
Magie,Feu,Corps brulant,false,,Augmente la température du porteur et améliore ses capacités.,"Chaleur : 5 dégâts léger par pt de chaleur, dure 1 scène
A chaque tour peut gagner un bonus mais augmente sa chaleur de 1. 
Bonus : 
+1 physique 
+1 dégâts 
-1 coût PE sort",,"Pour 1pt de chaleur supplémentaire : 
+1 au bonus 
ou
2 bonus en 1 tour."
Magie,Feu,Explosion/Implosion,true,,Attire ou rejette les éléments présent autour d'un point.,"Rayon explosion : 3m
Explosion : 0 dégâts

[si nv2]
Amplification de dégâts : 4 dégâts coûte 1PE",Distance : 5m,"Distance : 10m
Amplification de dégats"
Magie,Feu,Infusion explosive,true,,Rend un élément ou un objet explosif infligeant de lourd dégâts. Excepté le lanceur si quelque chose touche l’infusion celle-ci explose.,"Explosion : inflige 3 dégâts
Durée : un tour jusqu’à l’explosion.",Peut infuser un objet.,Autant d’objet qu’il le souhaite.
Magie,Electricite,Arc électrique,false,,Permet de créer un arc électrique traversant l'air et les objets métallique. Très puissant mais risqué en cas d’échec.,"Arc électrique : 4 dégâts 
Coût : +1 Pe
Si rate : 1 dégâts aggravé à soit même",Distance : 5m,"Distance : 10m
Touche les adversaire proche : 1 à 2 dégâts en fonction de la distance."
Magie,Electricite,Stimulus,false,,Permet au mage d'accélérer brièvement sa vitesse d'action,Accélération : donne une action simple supplémentaire,,Peut utiliser son action à n’importe quel moment
Magie,Electricite,Lumière,false,,Permet d’invoquer une lumière très puissante.,"[magie + Lumière] / [sang froid + adresse]

Attaque ciblée : -2 cap -2 perception -2 def 
Attaque groupée : -1 cap -1 perception -1 def
Durée : 1 round","Ciblée : 1 personne 
Groupe : 5 m","Ciblée : 2 personne 
Groupe : 10 m"
Magie,Electricite,Magnétisme,true,,"Au contact permet de magnétiser un ou plusieurs objets de métal les attirants fortement l'un vers l'autre.
Peut aussi projeter des objets en métal.","Le lanceur choisit 2 objets en métal, ils s’attirent ou se repoussent.
Pour séparer : [force + astuce] / 2
Amplification : augmente la difficulté de séparation de 1 pour 1 PE
Projection d’objet en métal : plus l’objet est petit plus cela fait de dégâts (1 à 4 dégâts)","Distance Attirance/repoussoir : Contact 
Projection : 5m","Distance Attirance/repoussoir : 5m 
Projection : 10m"
Magie,Electricite,Onde de choc,true,,Crée une onde de choc électrique qui paralyse les personnes touchées.,"[Magie + Onde choc] / [constitution + sang froid] 

Si réussi : retire une action à l’adversaire et le fais jouer en dernier
Si rate : les adversaires touchés jouent en dernier",Zone : 5m,"Zone : 10m
Si réussi : annule l’action de l’adversaire"
